0,^ COMPUTING SERVICES ^,*,*,Office of Computing Services Carnegie Mellon University Australia 220 Victoria Square Adelaide South Australia 5000  Tel +61 8 8110 9999 (IT Office) Fax +61 8 8211 9444 Email itoffice@cmu.edu.au,pandlearn.aiml
0,^ ADDRESS ^,*,*,Carnegie Mellon University Australia 220 Victoria Square Adelaide South Australia 5000,pandlearn.aiml
0,^ IT CONTACT ^,*,*,Tel +61 8 8110 9999 (IT Office) Fax +61 8 8211 9444 Email itoffice@cmu.edu.au,pandlearn.aiml
0,^ IT HOTLINE ^,*,*,Tel +61 8 8110 9999 (IT Office),pandlearn.aiml
0,^ PURCHASING IT DEVICES ^,*,*,Recommendations are here <br> https://at.cmu.edu.au/pages/view/1717/17-purchasing-it-devices</br>,pandlearn.aiml
0,^ IT DEVICES RECOMMENDATION ^,*,*,Recommendations are here <br> https://at.cmu.edu.au/pages/view/1717/17-purchasing-it-devices</br>,pandlearn.aiml
0,^ COMPUTER RECOMMENDATION ^,*,*,Recommendations are here https://at.cmu.edu.au/pages/view/1717/17-purchasing-it-devices<br/>,pandlearn.aiml
0,^ UNIVERSITY POLICIES ^,*,*,https://at.cmu.edu.au/pages/view/19928/16-computing-policies,pandlearn.aiml
0,^ POLICY ^,*,*,https://www.cmu.edu/policies/information-technology/computing.html,pandlearn.aiml
0,^ POWER ^,*,*,We have a 240Volt power outlets in Australia#Comma different from America and Asia#Comma so we ask all students affected to purchase an Australian power cord. This will ensure your safety and comply with Australian Building Regulation.  In Australia#Comma we run a high voltage of 240V. Your laptop power block is able to automatically change to this voltage if it needs to. Updating your power cord - from the wall socket to your power block is strongly recommended. This enables you to use the wall point's appropriately without danger. The power cords cost from 6 to 8 dollars.  We highly recommend not use international wall plug adapters with a non-Australian power cord to your laptop power block.  You can buy at "Jaycar Electronics" here please see the GoogleMapLocation. For more information#Comma please contact us at  ITOffice@cmu.edu.au,pandlearn.aiml
0,^ CHARGERS ^,*,*,We have a 240Volt power outlets in Australia#Comma different from America and Asia#Comma so we ask all students affected to purchase an Australian power cord. This will ensure your safety and comply with Australian Building Regulation.  In Australia#Comma we run a high voltage of 240V. Your laptop power block is able to automatically change to this voltage if it needs to. Updating your power cord - from the wall socket to your power block is strongly recommended. This enables you to use the wall point's appropriately without danger. The power cords cost from 6 to 8 dollars.  We highly recommend not use international wall plug adapters with a non-Australian power cord to your laptop power block.  You can buy at "Jaycar Electronics" here please see the GoogleMapLocation. For more information#Comma please contact us at  ITOffice@cmu.edu.au,pandlearn.aiml
0,^ APPS ^,*,*,There are 3 apps that can be useful on your phone.  1: "At CMU Australia" App for iOS and Android  image This app enables notifications from the university#Comma including emergency announcements to your phone as well as blog access to at.cmu.edu.au groups. Use your at.cmu.edu.au username and password for this     2: "Panopto" App for iOS and Android  image  View video recorded classes. Address = coursecast.cmu.edu.au Account = CMUA#Comma Username = AndrewID Password = local password     3: "Canvas" App for iOS and Android  image Access you CMU Canvas class materials Find your school or district = CMU AndrewID = AndrewID Password = Andrew Password,pandlearn.aiml
0,# PROJECT ROOM #,*,*,https://book.cmu.edu.au,pandlearn.aiml
